"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","When I enter login credentials with email anotheruser@example.com and password AnotherPassword1","","Fri Apr 18 01:21:16 IST 2025","broken","Fri Apr 18 01:21:16 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","7","Given I am on the signup page","","Fri Apr 18 01:21:19 IST 2025","skipped","Fri Apr 18 01:21:19 IST 2025","","Sign up functionality: User should be able to create a new account","",""
"","1845","When I login with email ""fake_user@example.com"" and password ""barfoo""","","Fri Apr 18 01:54:42 IST 2025","passed","Fri Apr 18 01:54:44 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","158","When I enter login credentials with email ""fake_user@example.com"" and password ""barfoo""","","Fri Apr 18 01:22:53 IST 2025","broken","Fri Apr 18 01:22:53 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","10079","Then I should see a flash message saying ""My Account""","","Fri Apr 18 01:08:45 IST 2025","broken","Fri Apr 18 01:08:55 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","216","When I enter login credentials with email """"testautomation@domain.com"""" and password """"Welcome@123""""","","Fri Apr 18 01:18:50 IST 2025","broken","Fri Apr 18 01:18:51 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","7183","Given I am on the login page","","Fri Apr 18 13:19:53 IST 2025","passed","Fri Apr 18 13:20:00 IST 2025","","Login functionality for success scenario: User should be able to login with valid credentials","",""
"","2864","When I login with email ""testautomation@domain.com"" and password ""Welcome@123""","","Fri Apr 18 01:54:54 IST 2025","passed","Fri Apr 18 01:54:57 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","2126","When I login with email ""fake_user@example.com"" and password ""barfoo""","","Fri Apr 18 13:16:22 IST 2025","passed","Fri Apr 18 13:16:24 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","0","hook:","","Fri Apr 18 13:20:03 IST 2025","failed","Fri Apr 18 13:20:03 IST 2025","","","",""
"","225","When I enter login credentials with email ""validuser@example.com"" and password ""ValidPassword123""","","Fri Apr 18 01:19:10 IST 2025","broken","Fri Apr 18 01:19:10 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","3194","When I login with email ""roni_cost@example.com"" and password ""SuperSecretPassword""","","Fri Apr 18 13:16:17 IST 2025","passed","Fri Apr 18 13:16:21 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","7041","Given I am on the login page","","Fri Apr 18 01:54:47 IST 2025","passed","Fri Apr 18 01:54:54 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","10039","When I login with ""roni_cost@example.com"" and ""SuperSecretPassword""","","Fri Apr 18 01:07:42 IST 2025","broken","Fri Apr 18 01:07:52 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","183","When I enter login credentials with email """"fake_user@example.com"""" and password """"barfoo""""","","Fri Apr 18 01:18:54 IST 2025","broken","Fri Apr 18 01:18:55 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","43","Then I should see the user dashboard","","Fri Apr 18 13:20:03 IST 2025","passed","Fri Apr 18 13:20:03 IST 2025","","Login functionality for success scenario: User should be able to login with valid credentials","",""
"","240","When I enter login credentials with email ""roni_cost@example.com"" and password ""SuperSecretPassword""","","Fri Apr 18 01:22:51 IST 2025","broken","Fri Apr 18 01:22:51 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","5420","Given I am on the login page","","Fri Apr 18 13:16:28 IST 2025","passed","Fri Apr 18 13:16:34 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","0","hook:","","Fri Apr 18 13:19:50 IST 2025","failed","Fri Apr 18 13:19:50 IST 2025","","","",""
"","55","Then I should see an error message","","Fri Apr 18 13:19:50 IST 2025","passed","Fri Apr 18 13:19:50 IST 2025","","Login functionality for invalid scenario: As a user, I can log into the secure area","",""
"","2885","When I login with email ""testautomation@domain.com"" and password ""Welcome@123""","","Fri Apr 18 13:20:00 IST 2025","passed","Fri Apr 18 13:20:03 IST 2025","","Login functionality for success scenario: User should be able to login with valid credentials","",""
"","233","When I enter login credentials with email ""testautomation@domain.com"" and password ""Welcome@123""","","Fri Apr 18 01:23:03 IST 2025","broken","Fri Apr 18 01:23:03 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","1120","Given I am on the login page","","Fri Apr 18 13:19:47 IST 2025","passed","Fri Apr 18 13:19:48 IST 2025","","Login functionality for invalid scenario: As a user, I can log into the secure area","",""
"","63","Then I should see an error message","","Fri Apr 18 01:54:44 IST 2025","passed","Fri Apr 18 01:54:44 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","39","Then I should see the user dashboard","","Fri Apr 18 01:54:57 IST 2025","passed","Fri Apr 18 01:54:57 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","2","When I enter login credentials with email validuser@example.com and password ValidPassword123","","Fri Apr 18 01:21:13 IST 2025","broken","Fri Apr 18 01:21:13 IST 2025","","Login functionality: User should be able to login with valid credentials","",""
"","0","hook:","","Fri Apr 18 01:21:19 IST 2025","failed","Fri Apr 18 01:21:19 IST 2025","","","",""
